行业,头腰尾,公司名称,公司主名,规模,员工人数,岗位,在职人数,平均在职天数,平均年收入,平均工作数,城市,企业工商类型,企业性质：国企，央企，外企,成立日期
纯互联网,尾部,上海冰穹网络科技有限公司,冰穹互娱,100~500人,0,,0,0.0,0.0,0.0,上海市,有限责任公司（自然人投资或控股的法人独资）,,2016-01-11
纯互联网,尾部,北京筋斗云科技有限公司,筋斗云科技有限公司,50人以内,0,数据分析,1,2553.0,379680.0,1.0,北京市,有限责任公司(中外合资),,1970-01-01
新能源,腰部,日出东方控股股份有限公司,日出东方控股股份有限公司,1000~10000人,0,,0,0.0,0.0,0.0,连云港市,,,1970-01-01
新金融科技,尾部,中关村科技租赁股份有限公司,中关村科技租赁有限公司,50~100人,0,,0,0.0,0.0,0.0,北京市,,,1970-01-01
智能硬件,尾部,德能森智能科技（成都）有限公司,德能森智能科技（成都）有限公司,50~100人,0,,0,0.0,0.0,0.0,成都市,,,1970-01-01
纯互联网,尾部,上海小鸿网络科技有限公司,小鸿科技,50~100人,0,,0,0.0,0.0,0.0,上海市,有限责任公司(自然人投资或控股),,2014-11-26
纯互联网,尾部,自然阳光（上海）日用品有限公司,自然阳光,50人以内,0,,0,0.0,0.0,0.0,上海市,,,1970-01-01
游戏,尾部,藍港互動集團有限公司,蓝港互动集团,500~1000人,0,,0,0.0,0.0,0.0,,,,1970-01-01
智能硬件,尾部,北京亮亮视野科技有限公司,北京亮亮视野科技有限公司,100~500人,0,,0,0.0,0.0,0.0,北京市,,,1970-01-01
电子商务&新零售,尾部,蔻賽（國際）控股集團有限公司,蔻赛国际控股有限公司,,0,,0,0.0,0.0,0.0,,,,1970-01-01
纯互联网,尾部,深圳市凯欣达信息技术股份有限公司,深圳市凯欣达信息技术股份有限公司,100~500人,0,,0,0.0,0.0,0.0,深圳市,,,1970-01-01
电子商务&新零售,尾部,杭州戈洛博电子商务有限公司,杭州戈洛博电子商务有限公司,50~100人,0,,0,0.0,0.0,0.0,杭州市,,,1970-01-01
电子商务&新零售,尾部,深圳市樱桃优品网络科技有限公司,深圳市樱桃优品网络科技有限公司,100~500人,0,,0,0.0,0.0,0.0,深圳市,,,1970-01-01
纯互联网,尾部,北京晋江原创网络科技有限公司,晋江文学,50~100人,0,,0,0.0,0.0,0.0,北京市,,,1970-01-01
电子商务&新零售,尾部,恒信汽车电子商务有限公司,恒信汽车电子商务有限公司,,0,,0,0.0,0.0,0.0,菏泽市,,,1970-01-01
新金融科技,腰部,北京江融信科技有限公司,江融信,100~500人,0,数据分析,3,2004.0,434000.0,1.2,北京市海淀区中关村大街32号5层A0809,,,1970-01-01
人工智能,尾部,上海理想信息产业（集团）有限公司,上海理想,100~500人,500,数据分析,2,1654.0,231000.0,1.0,上海市,,,1970-01-01
纯互联网,尾部,北京理正软件股份有限公司,北京理正软件股份有限公司,100~500人,0,,0,0.0,0.0,0.0,北京市,,,1970-01-01
新金融科技,尾部,上海银生宝电子支付服务有限公司,上海银生宝电子支付服务有限公司,50~100人,0,,0,0.0,0.0,0.0,上海市,,,1970-01-01
纯互联网,尾部,广东一站网络科技有限公司,一站网,500~1000人,0,,0,0.0,0.0,0.0,广州市,其他有限责任公司,,2015-01-13
纯互联网,尾部,深圳市龙图软件有限公司,深圳市龙图软件有限公司,50人以内,0,,0,0.0,0.0,0.0,深圳市,,,1970-01-01
纯互联网,尾部,杭州阿拉丁数字技术有限公司,杭州阿拉丁数字技术有限公司,50~100人,0,,0,0.0,0.0,0.0,杭州市,,,1970-01-01
纯互联网,尾部,北京思维实创科技股份有限公司,北京思维实创科技股份有限公司,100~500人,0,,0,0.0,0.0,0.0,北京市,,,1970-01-01
新金融科技,尾部,上海爱投金融信息服务有限公司,爱投金融,100~500人,0,,0,0.0,0.0,0.0,上海市,,,1970-01-01
纯互联网,尾部,光通天下网络科技有限公司,光通天下网络科技有限公司,100~500人,0,,0,0.0,0.0,0.0,金华市,,,1970-01-01
纯互联网,尾部,上海企顺信息系统有限公司,上海企顺信息系统有限公司,100~500人,0,,0,0.0,0.0,0.0,上海市,,,1970-01-01
纯互联网,尾部,北京中科聚网信息技术有限公司,中科聚网,50~100人,0,,0,0.0,0.0,0.0,北京市,,,1970-01-01
纯互联网,尾部,上海长江计算机有限公司,长江计算机,100~500人,0,,0,0.0,0.0,0.0,上海市,,,1970-01-01
纯互联网,尾部,河北志晟信息技术股份有限公司,志晟信息,100~500人,0,,0,0.0,0.0,0.0,廊坊市,,,1970-01-01
纯互联网,尾部,北京护靓坊科技有限公司,北京一路捞互联网科技有限公司,50~100人,0,,0,0.0,0.0,0.0,北京市,,,1970-01-01
游戏,尾部,深圳市麦游互动科技有限公司,麦游互动,50~100人,0,,0,0.0,0.0,0.0,深圳市,,,1970-01-01
纯互联网,尾部,深圳无界财富管理有限公司,深圳无界财富管理有限公司,50人以内,0,,0,0.0,0.0,0.0,深圳市,,,1970-01-01
人工智能,尾部,北京天耀宏图科技有限公司,天耀宏图,100~500人,0,数据分析,2,2735.0,330946.0,1.0,北京市,,,1970-01-01
新生物医药,尾部,浙江我武生物科技股份有限公司,我武生物,100~500人,0,,0,0.0,0.0,0.0,湖州市,,,1970-01-01
游戏,腰部,重庆帕斯亚科技有限公司,重庆帕斯亚科技有限公司,50~100人,0,,0,0.0,0.0,0.0,重庆市,,,1970-01-01
新生物医药,尾部,上海汇伦生命科技有限公司,上海汇伦生命科技有限公司,100~500人,0,,0,0.0,0.0,0.0,上海市,,,1970-01-01
纯互联网,尾部,北京云端时代科技股份有限公司,北京云端时代科技股份有限公司,50人以内,0,,0,0.0,0.0,0.0,北京市,,,1970-01-01
纯互联网,尾部,天瑞思创科技（北京）有限公司,天瑞思创科技（北京）有限公司,50人以内,0,,0,0.0,0.0,0.0,北京市,,,1970-01-01
纯互联网,尾部,深圳市奥软网络科技有限公司,深圳市奥软网络科技有限公司,50人以内,0,,0,0.0,0.0,0.0,深圳市,,,1970-01-01
企业数字化服务,尾部,成都来肯信息技术有限公司,成都来肯信息技术有限公司,50~100人,0,,0,0.0,0.0,0.0,成都市,,,1970-01-01
新生物医药,腰部,广州阳普医疗科技股份有限公司,阳普医疗,100~500人,0,,0,0.0,0.0,0.0,广州市,,,1970-01-01
纯互联网,尾部,合肥斡亿信息科技有限公司,斡亿科技,50~100人,0,,0,0.0,0.0,0.0,合肥市,,,1970-01-01
纯互联网,尾部,江西赛宝网络科技有限公司,江西赛宝网络科技有限公司,50人以内,0,,0,0.0,0.0,0.0,南昌市,,,1970-01-01
纯互联网,尾部,上海亚太神通计算机有限公司,上海亚太神通计算机有限公司,100~500人,0,,0,0.0,0.0,0.0,上海市,,,1970-01-01
电子商务&新零售,尾部,义乌市丹源信息技术有限公司,义乌市丹源信息技术有限公司,,0,,0,0.0,0.0,0.0,金华市,,,1970-01-01
新生物医药,尾部,深圳市精锋医疗科技有限公司,精锋医疗,100~500人,0,,0,0.0,0.0,0.0,深圳市,有限责任公司,,2017-05-04
智能硬件,尾部,小米科技有限责任公司武汉分公司,武汉小米科技,,0,数据分析,3,2125.0,287000.0,1.3333333333333333,武汉市,,,1970-01-01
人工智能,尾部,上海穰川信息技术有限公司,麦穗人工智能,50人以内,0,,0,0.0,0.0,0.0,上海市,,,1970-01-01
纯互联网,尾部,杭州漫禾科技有限公司,杭州漫禾科技有限公司,50人以内,0,,0,0.0,0.0,0.0,杭州市,,,1970-01-01
纯互联网,尾部,苏州星龙传媒有限公司,苏州星龙传媒有限公司,50人以内,0,,0,0.0,0.0,0.0,苏州市,,,1970-01-01
新生物医药,尾部,无锡药明合联生物技术有限公司,无锡药明合联生物技术有限公司,100~500人,0,,0,0.0,0.0,0.0,无锡市,,,1970-01-01
人工智能,尾部,深圳市生意汇信息技术有限公司,深圳市生意汇信息技术有限公司,50人以内,0,,0,0.0,0.0,0.0,深圳市,,,1970-01-01
新能源,腰部,固瑞特模具(太仓)有限公司,固瑞特模具(太仓)有限公司,100~500人,0,,0,0.0,0.0,0.0,苏州市,,,1970-01-01
电子商务&新零售,尾部,候鸟跨境科技（深圳）有限公司,候鸟跨境科技（深圳）有限公司,50人以内,0,,0,0.0,0.0,0.0,深圳市,,,1970-01-01
企业数字化服务,尾部,内蒙古云科数据服务有限公司,内蒙古云科数据服务有限公司,50~100人,0,,0,0.0,0.0,0.0,呼和浩特市,,,1970-01-01
电子商务&新零售,尾部,盈科美辰国际旅游公司,盈科美辰国际旅游公司,,0,,0,0.0,0.0,0.0,南京市,,,1970-01-01
新能源,尾部,大唐山西新能源有限公司,大唐山西新能源有限公司,50~100人,0,,0,0.0,0.0,0.0,太原市,,,1970-01-01
新生物医药,尾部,深圳英美达医疗技术有限公司,深圳英美达医疗技术有限公司,50~100人,0,,0,0.0,0.0,0.0,深圳市,,,1970-01-01
新生物医药,尾部,山东欣博药物研究有限公司,山东欣博药物研究有限公司,50~100人,0,,0,0.0,0.0,0.0,德州市,,,1970-01-01
新生物医药,尾部,苏州朗科生物技术有限公司,苏州朗科生物技术有限公司,50~100人,0,,0,0.0,0.0,0.0,苏州市,,,1970-01-01
新金融科技,尾部,小花互联网金融服务（深圳）有限公司,小花互联网金融服务（深圳）有限公司,100~500人,100,数据分析,1,3464.0,595000.0,1.0,深圳市,,,1970-01-01
电子商务&新零售,尾部,乌石拉链有限公司,乌石拉链有限公司,50人以内,0,,0,0.0,0.0,0.0,广州市,,,1970-01-01
电子商务&新零售,尾部,烟台星商电子商务有限公司,烟台星商电子商务有限公司,50~100人,0,,0,0.0,0.0,0.0,烟台市,,,1970-01-01
新能源,尾部,东营大海科林光电有限公司,东营大海科林光电有限公司,100~500人,0,,0,0.0,0.0,0.0,东营市,,,1970-01-01
新生物医药,尾部,浙江世纪康大医疗科技股份有限公司,浙江世纪康大医疗科技股份有限公司,50人以内,0,,0,0.0,0.0,0.0,杭州市,,,1970-01-01
新生物医药,尾部,北京博富瑞基因诊断技术有限公司,北京博富瑞基因诊断技术有限公司,50~100人,0,,0,0.0,0.0,0.0,北京市,,,1970-01-01
纯互联网,尾部,中思博安科技（北京）有限公司,中思博安科技（北京）有限公司,100~500人,0,,0,0.0,0.0,0.0,北京市,,,1970-01-01
新能源,尾部,合肥睿晶科技股份有限公司,合肥睿晶科技股份有限公司,50人以内,0,,0,0.0,0.0,0.0,合肥市,,,1970-01-01
企业数字化服务,尾部,福建新大陆软件工程公司,福建新大陆软件工程公司,,0,数据分析,3,1509.0,205333.33333333334,2.0,,,,1970-01-01
纯互联网,尾部,青岛卓逸富民财富管理有限公司,青岛卓逸富民财富管理有限公司,50~100人,0,,0,0.0,0.0,0.0,青岛市,,,1970-01-01
电子商务&新零售,尾部,四川惠特网络系统技术有限公司,四川惠特网络系统技术有限公司,,0,,0,0.0,0.0,0.0,成都市,,,1970-01-01
电子商务&新零售,尾部,上海华通输配电（集团）有限公司,上海华通输配电（集团）有限公司,50人以内,0,,0,0.0,0.0,0.0,上海市,,,1970-01-01
企业数字化服务,尾部,国泰新点软件有限公司南京分公司,国泰新点软件有限公司南京分公司,100~500人,0,数据分析,1,2217.0,175000.0,2.0,南京市,,,1970-01-01
新能源,尾部,德阳九鼎能源科技有限公司,德阳九鼎能源科技有限公司,50~100人,0,,0,0.0,0.0,0.0,德阳市,,,1970-01-01
人工智能,尾部,北京文因互联科技有限公司,文因互联,50人以内,0,数据分析,1,2278.0,245000.0,1.0,北京市,,,1970-01-01
新生物医药,尾部,南京诺唯赞医疗科技有限公司,南京诺唯赞医疗科技有限公司,100~500人,0,,0,0.0,0.0,0.0,南京市,,,1970-01-01
新能源汽车,尾部,浙江福林国润汽车零部件有限公司,浙江福林国润汽车零部件有限公司,1000~10000人,0,,0,0.0,0.0,0.0,台州市,,,1970-01-01
纯互联网,尾部,上海观安信息技术股份有限公司,观安信息,100~500人,0,数据分析,4,4725.428571428572,510052.0,1.7142857142857142,上海市,,,1970-01-01
新生物医药,尾部,威海迪素制药有限公司,威海迪素制药有限公司,,0,,0,0.0,0.0,0.0,威海市,,,1970-01-01
新生物医药,腰部,北京健乃喜生物技术有限公司,北京健乃喜生物技术有限公司,100~500人,0,,0,0.0,0.0,0.0,北京市,,,1970-01-01
游戏,尾部,深圳市奥术信息科技有限公司,深圳市奥术信息科技有限公司,50~100人,0,,0,0.0,0.0,0.0,深圳市,,,1970-01-01
新金融科技,尾部,山东中创软件工程股份有限公司,中创软件,100~500人,0,数据分析,1,6539.0,280000.0,1.0,济南市,,,1970-01-01
电子商务&新零售,尾部,北京出行汽车服务有限公司,北京出行,50~100人,0,,0,0.0,0.0,0.0,北京市,,,1970-01-01
新能源汽车,尾部,天合富奥汽车安全系统（长春）有限公司,天合富奥,1000~10000人,0,,0,0.0,0.0,0.0,长春市,,,1970-01-01
智能硬件,尾部,深圳市瑞立视多媒体科技有限公司,深圳市瑞立视多媒体科技有限公司,50~100人,0,,0,0.0,0.0,0.0,深圳市,,,1970-01-01
企业数字化服务,尾部,上海安锐盟企业服务有限公司,安锐盟,100~500人,0,,0,0.0,0.0,0.0,上海市,,,1970-01-01
企业数字化服务,尾部,北京市太极华青信息系统有限公司,北京市太极华青信息系统有限公司,100~500人,0,数据分析,2,2521.0,190512.0,1.5,北京市,,,1970-01-01
新能源,腰部,金保利（泉州）科技实业有限公司,金保利（泉州）科技实业有限公司,50人以内,0,,0,0.0,0.0,0.0,泉州市,,,1970-01-01
企业数字化服务,尾部,野村综研（北京）系统集成有限公司,野村综研（北京）系统集成有限公司,100~500人,0,,0,0.0,0.0,0.0,北京市,,,1970-01-01
电子商务&新零售,尾部,杭州淘派网络科技有限公司,杭州淘派网络科技有限公司,50人以内,0,数据分析,1,482.0,91000.0,2.0,杭州市,,,1970-01-01
纯互联网,尾部,杭州西软信息技术有限公司,杭州西软信息技术有限公司,100~500人,0,,0,0.0,0.0,0.0,杭州市,,,1970-01-01
纯互联网,尾部,北京行所志软件技术开发有限公司,行所志,50~100人,0,,0,0.0,0.0,0.0,北京市,,,1970-01-01
纯互联网,尾部,温州君义信息技术有限公司,温州君义信息技术有限公司,50人以内,0,,0,0.0,0.0,0.0,温州市,,,1970-01-01
新能源汽车,尾部,长春派格汽车塑料技术有限公司,长春派格汽车塑料技术有限公司,1000~10000人,0,,0,0.0,0.0,0.0,长春市,,,1970-01-01
纯互联网,尾部,武汉易维科技股份有限公司,武汉易维科技股份有限公司,50~100人,0,,0,0.0,0.0,0.0,武汉市,,,1970-01-01
游戏,腰部,广州要玩娱乐网络技术股份有限公司,要玩游戏,500~1000人,0,数据分析,1,,472024.0,1.0,广州市,其他股份有限公司(非上市),,2009-12-01
电子商务&新零售,尾部,上海春芝堂生物制品有限公司,春芝堂,100~500人,0,,0,0.0,0.0,0.0,上海市,,,1970-01-01
新生物医药,尾部,上海恒润达生生物科技有限公司,上海恒润达生生物科技有限公司,100~500人,0,,0,0.0,0.0,0.0,上海市,,,1970-01-01
纯互联网,尾部,兰州恒石网络技术有限公司,兰州恒石网络技术有限公司,50人以内,0,,0,0.0,0.0,0.0,兰州市,有限责任公司(自然人独资),,1970-01-01
新能源,腰部,山东力诺光伏高科技有限公司,山东力诺光伏高科技有限公司,50~100人,0,,0,0.0,0.0,0.0,济南市,,,1970-01-01
电子商务&新零售,尾部,广东小冰火人网络科技股份有限公司,广东小冰火人网络科技股份有限公司,100~500人,0,数据分析,1,2019.0,277893.0,1.0,佛山市,,,1970-01-01
企业数字化服务,尾部,深圳市赛思和创信息技术有限公司,深圳市赛思和创信息技术有限公司,50人以内,0,,0,0.0,0.0,0.0,深圳市,,,1970-01-01
新金融科技,尾部,河北宜农网络科技有限公司,宜农科技,100~500人,0,,0,0.0,0.0,0.0,石家庄市,,,1970-01-01
纯互联网,尾部,上海亿盟信息技术开发有限公司,上海亿盟信息技术开发有限公司,50~100人,0,,0,0.0,0.0,0.0,上海市,,,1970-01-01
电子商务&新零售,尾部,和记黄埔（中国）商贸有限公司,和记黄埔,1000~10000人,0,,0,0.0,0.0,0.0,广州市,,,1970-01-01
纯互联网,尾部,深圳市瑞凌实业集团股份有限公司,深圳市瑞凌实业股份有限公司,500~1000人,0,,0,0.0,0.0,0.0,深圳市,,,1970-01-01
智能硬件,腰部,厦门科拓通讯技术股份有限公司,厦门科拓通讯技术股份有限公司,500~1000人,0,数据分析,2,2490.5,286527.5,1.0,厦门市,,,1970-01-01
电子商务&新零售,尾部,广州美快软件开发有限公司,广州美快软件开发有限公司,50人以内,0,,0,0.0,0.0,0.0,广州市,,,1970-01-01
新金融科技,尾部,凯美瑞德（苏州）信息科技股份有限公司,凯美瑞德,100~500人,0,,0,0.0,0.0,0.0,苏州市,,,1970-01-01
纯互联网,尾部,北京智马汇智科技有限公司,北京智马汇智科技有限公司,50人以内,0,,0,0.0,0.0,0.0,北京市,,,1970-01-01
企业数字化服务,尾部,北京大账房信息技术有限公司,大账房信息,100~500人,0,数据分析,1,3770.0,630000.0,1.0,北京市,,,1970-01-01
电子商务&新零售,尾部,卡维妲国际贸易集团有限公司,卡维妲国际贸易集团有限公司,,0,,0,0.0,0.0,0.0,香港,,,1970-01-01
新生物医药,腰部,深圳信立泰药业股份有限公司,深圳信立泰药业股份有限公司,1000~10000人,0,,0,0.0,0.0,0.0,深圳市,,,1970-01-01
电子商务&新零售,尾部,琳玛（上海）贸易有限公司,琳玛（上海）贸易有限公司,1000~10000人,3000,,0,0.0,0.0,0.0,上海市,,,1970-01-01
智能硬件,腰部,上海与德通讯技术有限公司,与德通讯,100~500人,0,,0,0.0,0.0,0.0,上海市,,,1970-01-01
电子商务&新零售,尾部,深圳市蓝禾科技有限公司,TORRAS图拉斯,500~1000人,0,,0,0.0,0.0,0.0,深圳市,,,1970-01-01
纯互联网,尾部,深圳充电网科技有限公司,深圳充电网科技有限公司,50人以内,0,,0,0.0,0.0,0.0,深圳市,,,1970-01-01
电子商务&新零售,尾部,陕西掌悦互动科技有限公司,陕西掌悦互动科技有限公司,100~500人,0,,0,0.0,0.0,0.0,西安市,,,1970-01-01
纯互联网,尾部,广州市金禧信息技术服务有限公司,广州市金禧信息技术服务有限公司,100~500人,0,,0,0.0,0.0,0.0,广州市,,,1970-01-01
智能硬件,尾部,深圳辰通智能股份有限公司,深圳辰通智能股份有限公司,50人以内,0,,0,0.0,0.0,0.0,深圳市,,,1970-01-01
人工智能,腰部,浙江鹏信信息科技股份有限公司,浙江鹏信信息科技股份有限公司,100~500人,0,数据分析,1,2733.0,,1.0,杭州市,,,1970-01-01
纯互联网,腰部,广州趣丸网络科技有限公司,趣丸科技,1000~10000人,1000,数据分析,16,2739.1111111111113,516779.44444444444,2.2222222222222223,广州市,其他有限责任公司,,2014-12-13
游戏,尾部,湖南云畅网络科技有限公司,湖南云畅网络科技有限公司,50~100人,0,,0,0.0,0.0,0.0,长沙市,,,1970-01-01
纯互联网,尾部,深圳市博源电子有限公司,深圳市博源电子有限公司,500~1000人,0,,0,0.0,0.0,0.0,深圳市,,,1970-01-01
电子商务&新零售,尾部,杭州云若网络科技有限公司,杭州云若网络科技有限公司,50人以内,0,,0,0.0,0.0,0.0,杭州市,,,1970-01-01
纯互联网,尾部,北京众志好活科技有限公司,好活,50人以内,0,,0,0.0,0.0,0.0,北京市,,,1970-01-01
电子商务&新零售,腰部,傲基（深圳）跨境商务股份有限公司,傲基科技,1000~10000人,0,数据分析,2,2521.0,420000.0,1.0,深圳市,,,1970-01-01
新能源,尾部,南京东送电力科技有限公司,南京东送电力科技有限公司,50~100人,0,,0,0.0,0.0,0.0,南京市,,,1970-01-01
新生物医药,尾部,北京九州通医药有限公司,北京九州通医药有限公司,500~1000人,0,数据分析,0,1121.0,119000.0,1.0,北京市,,,1970-01-01
企业数字化服务,尾部,北京清博大数据科技有限公司,清博大数据,100~500人,0,数据分析,11,3501.5555555555557,305966.5,1.3636363636363635,北京市,,,1970-01-01
纯互联网,尾部,北京上课了科技有限公司,北京上课了科技有限公司,50人以内,0,,0,0.0,0.0,0.0,北京市,,,1970-01-01
人工智能,尾部,上海南洋万邦软件技术有限公司,南洋万邦,100~500人,0,数据分析,1,7300.0,420000.0,4.0,上海市,,,1970-01-01
纯互联网,尾部,上海鱼耀金融信息服务有限公司,口袋理财,100~500人,0,,0,0.0,0.0,0.0,上海市,,,1970-01-01
人工智能,尾部,中网数据（北京）股份有限公司,中网数据（北京）股份有限公司,100~500人,0,,0,0.0,0.0,0.0,北京市,,,1970-01-01
纯互联网,尾部,北京恒远志成信息服务有限公司,北京恒远志成信息服务有限公司,100~500人,0,,0,0.0,0.0,0.0,北京市,,,1970-01-01
企业数字化服务,尾部,四川能信科技股份有限公司,四川能信科技股份有限公司,50~100人,0,数据分析,1,6173.0,394282.0,4.0,成都市,,,1970-01-01
纯互联网,尾部,哈尔滨品源科技有限公司,哈尔滨品源科技有限公司,50人以内,0,,0,0.0,0.0,0.0,哈尔滨市,,,1970-01-01
新能源,腰部,西安烽火光伏科技股份有限公司,西安烽火光伏科技股份有限公司,50人以内,0,,0,0.0,0.0,0.0,西安市,,,1970-01-01
人工智能,腰部,北京赋乐科技有限公司,Flow++,100~500人,0,,0,0.0,0.0,0.0,北京市,有限责任公司(自然人投资或控股),,2016-08-18
企业数字化服务,尾部,郑州乐驰软件科技有限公司,郑州乐驰软件科技有限公司,50人以内,0,,0,0.0,0.0,0.0,郑州市,,,1970-01-01
企业数字化服务,尾部,北京金商祺科技股份有限公司,北京金商祺科技股份有限公司,50~100人,0,,0,0.0,0.0,0.0,北京市,,,1970-01-01
企业数字化服务,腰部,杭州端点网络科技有限公司,端点网络科技,500~1000人,500,数据分析,1,1486.0,154000.0,1.0,杭州市,,,2012-10-15
电子商务&新零售,尾部,四川德惠商业股份有限公司,四川德惠商业股份有限公司,1000~10000人,0,,0,0.0,0.0,0.0,成都市,,,1970-01-01
游戏,腰部,成都天纵世纪科技有限公司,成都天纵世纪科技有限公司,100~500人,0,,0,0.0,0.0,0.0,成都市,,,1970-01-01
纯互联网,尾部,北京聚玩奥朗网络科技有限公司,北京聚玩奥朗网络科技有限公司,50人以内,0,,0,0.0,0.0,0.0,北京市,,,1970-01-01
新生物医药,尾部,江苏新智源医学科技有限公司,江苏新智源医学科技有限公司,50~100人,0,,0,0.0,0.0,0.0,泰州市,,,1970-01-01
人工智能,尾部,上海直真君智科技有限公司,上海直真君智科技有限公司,50~100人,0,,0,0.0,0.0,0.0,上海市,,,1970-01-01
新生物医药,尾部,北京索莱宝科技有限公司,北京索莱宝科技有限公司,100~500人,0,,0,0.0,0.0,0.0,北京市,,,1970-01-01
人工智能,尾部,江苏瑞中数据股份有限公司,江苏瑞中数据股份有限公司,50人以内,0,数据分析,1,1303.0,,1.0,南京市,,,1970-01-01
纯互联网,尾部,山东合商云购电子商务有限公司,山东合商云购电子商务有限公司,50~100人,0,,0,0.0,0.0,0.0,济南市,,,1970-01-01
纯互联网,尾部,郑州云峰计算机科技有限公司,郑州云峰科技,50人以内,0,,0,0.0,0.0,0.0,郑州市,,,1970-01-01
电子商务&新零售,尾部,杭州湃沃电子商务有限公司,杭州湃沃电子商务有限公司,50人以内,0,数据分析,1,2918.0,231000.0,1.0,杭州市,,,1970-01-01
纯互联网,尾部,北京鸿蒙网科技有限公司,北京鸿蒙网科技有限公司,50人以内,0,数据分析,1,3464.0,315000.0,3.0,北京市,,,1970-01-01
企业数字化服务,腰部,北京金实盈信科技有限公司,宇信金实,100~500人,0,,0,0.0,0.0,0.0,北京市,,,1970-01-01
电子商务&新零售,尾部,杭州青梅网络科技有限公司,杭州青梅网络科技有限公司,500~1000人,0,,0,0.0,0.0,0.0,杭州市,,,1970-01-01
新金融科技,尾部,杭州臻诚互联网金融服务有限公司,杭州臻诚互联网金融服务有限公司,50~100人,0,,0,0.0,0.0,0.0,杭州市,,,1970-01-01
电子商务&新零售,尾部,西铁城（中国）钟表有限公司,西铁城（中国）钟表有限公司,100~500人,0,,0,0.0,0.0,0.0,北京市,,,1970-01-01
新能源,腰部,张家港协鑫集成科技有限公司,张家港协鑫集成科技有限公司,100~500人,0,,0,0.0,0.0,0.0,苏州市,,,1970-01-01
企业数字化服务,尾部,深圳市容大数字技术有限公司,深圳市容大数字技术有限公司,50~100人,0,,0,0.0,0.0,0.0,深圳市,,,1970-01-01
新能源,腰部,锦浪科技股份有限公司,锦浪科技,1000~10000人,0,数据分析,1,1698.0,175000.0,1.0,宁波市,,,1970-01-01
人工智能,尾部,新云网科技集团股份有限公司,新云网,100~500人,0,,0,0.0,0.0,0.0,长沙市,,,1970-01-01
新金融科技,尾部,北京华拓金融服务外包有限公司,北京华拓金融服务外包有限公司,100~500人,0,数据分析,1,1303.0,119000.0,2.0,北京市,,,1970-01-01
纯互联网,尾部,广东盈通网络投资有限公司,盈通网络,100~500人,0,,0,0.0,0.0,0.0,广州市,,,1970-01-01
企业数字化服务,尾部,上海艾舜杰信息科技有限公司,上海艾舜杰信息科技有限公司,50人以内,0,,0,0.0,0.0,0.0,上海市,,,1970-01-01
纯互联网,尾部,迈吉客科技（北京）有限公司,迈吉客科技（北京）有限公司,50人以内,0,,0,0.0,0.0,0.0,北京市,,,1970-01-01
纯互联网,尾部,厦门鑫点击网络集团股份有限公司,厦门鑫点击网络科技股份有限公司,50~100人,0,,0,0.0,0.0,0.0,厦门市,,,1970-01-01
纯互联网,尾部,大连阿尔泰克信息技术有限公司,阿尔泰克,100~500人,0,,0,0.0,0.0,0.0,大连市,,,1970-01-01
新能源汽车,尾部,梦达驰汽车系统（天津）有限公司,梦达驰汽车系统（天津）有限公司,100~500人,0,,0,0.0,0.0,0.0,天津市,,,1970-01-01
电子商务&新零售,尾部,云南美澳环保科技有限公司,云南美澳环保科技有限公司,50人以内,0,,0,0.0,0.0,0.0,昆明市,,,1970-01-01
纯互联网,尾部,福建福诺移动通信技术有限公司,健康助理,100~500人,0,数据分析,2,2657.5,265261.5,1.5,福州市,,,1970-01-01
新生物医药,尾部,正元盛邦（天津）生物科技有限公司,正元盛邦（天津）生物科技有限公司,50人以内,0,,0,0.0,0.0,0.0,天津市,,,1970-01-01
新能源汽车,尾部,骆驼集团襄阳蓄电池有限公司,骆驼集团襄阳蓄电池有限公司,1000~10000人,0,,0,0.0,0.0,0.0,襄阳市,,,1970-01-01
纯互联网,尾部,北京阳光汇点数码科技有限公司,北京阳光汇点数码科技有限公司,50~100人,0,,0,0.0,0.0,0.0,北京市,,,1970-01-01
智能硬件,尾部,成都臻识科技发展有限公司,成都臻识科技发展有限公司,100~500人,1120,数据分析,1,5109.0,175000.0,1.0,成都市,,,1970-01-01
纯互联网,尾部,广州创显科教股份有限公司,广州创显科教股份有限公司,100~500人,0,,0,0.0,0.0,0.0,广州市,,,1970-01-01
游戏,腰部,深圳市迅龙创威网络技术有限公司,迅龙创威,100~500人,0,,0,0.0,0.0,0.0,深圳市,,,1970-01-01
人工智能,腰部,广州汇智通信技术有限公司,汇智通信,1000~10000人,5000,数据分析,4,2668.5,394621.5,1.0,广州市,,,1970-01-01
企业数字化服务,尾部,黑龙江海康软件工程有限公司,黑龙江海康软件工程有限公司,50人以内,0,,0,0.0,0.0,0.0,哈尔滨市,,,1970-01-01
纯互联网,尾部,福州畅读信息科技有限公司,畅读科技,100~500人,0,数据分析,1,2110.0,402500.0,1.0,福州市,,,1970-01-01
智能硬件,腰部,北京万集科技股份有限公司,万集科技,1000~10000人,1858,数据分析,1,1182.0,210000.0,1.0,北京市,,,1970-01-01
纯互联网,尾部,北京思源时代科技有限公司,北京思源时代科技有限公司,100~500人,0,,0,0.0,0.0,0.0,北京市,,,1970-01-01
纯互联网,尾部,厦门亿力吉奥信息科技有限公司,亿力吉奥,500~1000人,500,,0,0.0,0.0,0.0,厦门市,,,1970-01-01
